scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S5-A,unique,test,8,6621953,nominal
S5-A,unique,test,9,6621954,nominal
S5-A,unique,test,10,6621955,dominant_plus_15pp
S5-A,unique,test,11,6621956,dominant_plus_15pp
S5-A,unique,test,12,6621957,dominant_plus_15pp
S5-A,unique,test,13,6621958,dominant_plus_15pp
S5-A,unique,test,14,6621959,dominant_plus_15pp
S5-A,unique,test,15,6621960,dominant_plus_15pp
S5-A,unique,test,16,6621961,dominant_plus_15pp
S5-A,unique,test,17,6621962,dominant_plus_15pp
S5-A,unique,test,18,6621963,dominant_plus_15pp
S5-A,unique,test,19,6621964,dominant_plus_15pp
S5-A,unique,test,20,6621965,dominant_minus_15pp
S5-A,unique,test,21,6621966,dominant_minus_15pp
S5-A,unique,test,22,6621967,dominant_minus_15pp
S5-A,unique,test,23,6621968,dominant_minus_15pp
S5-A,unique,test,24,6621969,dominant_minus_15pp
S5-A,unique,test,25,6621970,dominant_minus_15pp
S5-A,unique,test,26,6621971,dominant_minus_15pp
S5-A,unique,test,27,6621972,dominant_minus_15pp
S5-A,unique,test,28,6621973,dominant_minus_15pp
S5-A,unique,test,29,6621974,dominant_minus_15pp
S5-A,non_unique,train,,3680000,fixed
